"indicator","County","Year","subgroup1","subgroup_cat1","subgroup2","subgroup_cat2","aaRate10K","aaRate10Kpy","count","cRate10K","cRate10Kpy","dailyMean"
"ED Visits","NYS excluding NYC","2005-2019","Total",,"Total",,803.46,53.564,843744,755.41,50.360,154.024
"ED Visits","NYS excluding NYC",2006,"Total",,"Total",,56.36,56.361,59907,53.92,53.918,164.129
"ED Visits","NYS excluding NYC","2006-2008","Total",,"Total",,168.16,56.054,178745,160.68,53.559,163.089
"ED Visits","NYS excluding NYC",2007,"Total",,"Total",,55.07,55.068,58479,52.60,52.596,160.216
"ED Visits","NYS excluding NYC","2007-2009","Total",,"Total",,173.42,57.807,184119,165.19,55.062,167.992
"ED Visits","NYS excluding NYC",2008,"Total",,"Total",,56.72,56.724,60359,54.16,54.162,164.915
"ED Visits","NYS excluding NYC","2008-2010","Total",,"Total",,174.86,58.287,185685,166.14,55.380,169.421
"ED Visits","NYS excluding NYC",2009,"Total",,"Total",,61.65,61.649,65281,58.41,58.414,178.852
"ED Visits","NYS excluding NYC","2009-2011","Total",,"Total",,175.83,58.610,186699,166.64,55.546,170.501
"ED Visits","NYS excluding NYC",2010,"Total",,"Total",,56.50,56.499,60045,53.57,53.565,164.507
"ED Visits","NYS excluding NYC","2010-2012","Total",,"Total",,173.34,57.779,184027,164.01,54.669,167.908
"ED Visits","NYS excluding NYC",2011,"Total",,"Total",,57.67,57.669,61373,54.67,54.669,168.145
"ED Visits","NYS excluding NYC","2011-2013","Total",,"Total",,171.72,57.239,181956,162.07,54.024,166.018
"ED Visits","NYS excluding NYC",2012,"Total",,"Total",,59.18,59.176,62609,55.77,55.770,171.063
"ED Visits","NYS excluding NYC","2012-2014","Total",,"Total",,170.72,56.905,180075,160.44,53.479,164.302
"ED Visits","NYS excluding NYC",2013,"Total",,"Total",,54.86,54.856,57974,51.63,51.632,158.833
"ED Visits","NYS excluding NYC","2013-2015","Total",,"Total",,164.71,54.902,173125,154.40,51.468,158.105
"ED Visits","NYS excluding NYC",2014,"Total",,"Total",,56.69,56.694,59492,53.04,53.036,162.992
"ED Visits","NYS excluding NYC","2014-2016","Total",,"Total",,157.39,52.463,163657,146.24,48.746,149.322
"ED Visits","NYS excluding NYC",2015,"Total",,"Total",,53.15,53.154,55659,49.73,49.733,152.490
"ED Visits","NYS excluding NYC","2015-2017","Total",,"Total",,146.11,48.704,150809,135.02,45.007,137.599
"ED Visits","NYS excluding NYC",2016,"Total",,"Total",,47.50,47.504,48506,43.45,43.448,132.530
"ED Visits","NYS excluding NYC","2016-2018","Total",,"Total",,137.77,45.922,140707,126.17,42.057,128.382
"ED Visits","NYS excluding NYC",2017,"Total",,"Total",,45.43,45.432,46644,41.83,41.825,127.792
"ED Visits","NYS excluding NYC","2017-2019","Total",,"Total",,131.93,43.976,134477,120.75,40.252,122.810
"ED Visits","NYS excluding NYC",2018,"Total",,"Total",,44.80,44.795,45557,40.89,40.894,124.814
"ED Visits","NYS excluding NYC",2019,"Total",,"Total",,41.67,41.674,42276,38.03,38.029,115.825
"ED Visits","New York City",2005,"Total",,"Total",,138.43,138.425,106985,133.51,133.508,293.110
"ED Visits","New York City","2005-2007","Total",,"Total",,428.60,142.868,329696,411.76,137.253,301.092
"ED Visits","New York City","2005-2019","Total",,"Total",,2110.79,140.720,1670187,2021.09,134.739,304.890
"ED Visits","New York City",2006,"Total",,"Total",,145.46,145.460,111517,139.50,139.503,305.526
"ED Visits","New York City","2006-2008","Total",,"Total",,435.36,145.120,335324,417.83,139.278,305.953
"ED Visits","New York City",2007,"Total",,"Total",,144.73,144.727,111194,138.75,138.754,304.641
"ED Visits","New York City","2007-2009","Total",,"Total",,437.48,145.826,338989,420.00,140.000,309.297
"ED Visits","New York City",2008,"Total",,"Total",,145.12,145.122,112613,139.58,139.576,307.686
"ED Visits","New York City","2008-2010","Total",,"Total",,438.42,146.141,342247,420.97,140.323,312.269
"ED Visits","New York City",2009,"Total",,"Total",,147.59,147.595,115182,141.65,141.648,315.567
"ED Visits","New York City","2009-2011","Total",,"Total",,442.22,147.406,347784,424.22,141.406,317.611
"ED Visits","New York City",2010,"Total",,"Total",,145.68,145.678,114452,139.74,139.742,313.567
"ED Visits","New York City","2010-2012","Total",,"Total",,452.27,150.755,358954,434.05,144.682,327.513
"ED Visits","New York City",2011,"Total",,"Total",,148.94,148.938,118150,142.81,142.815,323.699
"ED Visits","New York City","2011-2013","Total",,"Total",,459.97,153.322,368053,441.39,147.129,335.815
"ED Visits","New York City",2012,"Total",,"Total",,157.66,157.655,126352,151.38,151.380,345.224
"ED Visits","New York City","2012-2014","Total",,"Total",,463.07,154.357,372866,444.30,148.100,340.206
"ED Visits","New York City",2013,"Total",,"Total",,153.37,153.367,123551,147.15,147.153,338.496
"ED Visits","New York City","2013-2015","Total",,"Total",,451.69,150.564,365209,433.17,144.392,333.524
"ED Visits","New York City",2014,"Total",,"Total",,152.06,152.061,122963,145.80,145.798,336.885
"ED Visits","New York City","2014-2016","Total",,"Total",,434.39,144.798,351353,415.54,138.513,320.578
"ED Visits","New York City",2015,"Total",,"Total",,146.30,146.297,118695,140.25,140.251,325.192
"ED Visits","New York City","2015-2017","Total",,"Total",,406.25,135.418,327932,387.78,129.261,299.208
"ED Visits","New York City",2016,"Total",,"Total",,136.11,136.106,109695,129.52,129.523,299.713
"ED Visits","New York City","2016-2018","Total",,"Total",,381.63,127.211,306089,363.00,121.000,279.278
"ED Visits","New York City",2017,"Total",,"Total",,123.79,123.792,99542,117.98,117.976,272.718
"ED Visits","New York City","2017-2019","Total",,"Total",,349.20,116.399,278838,332.42,110.807,254.647
"ED Visits","New York City",2018,"Total",,"Total",,121.60,121.597,96852,115.44,115.436,265.348
"ED Visits","New York City",2019,"Total",,"Total",,103.59,103.587,82444,98.89,98.891,225.874
"ED Visits","New York State",2005,"AgeGroup","0-4","Total",,,,26970,228.42,228.415,73.890
"ED Visits","New York State",2005,"AgeGroup","15-19","Total",,,,10804,79.17,79.171,29.600
"ED Visits","New York State",2005,"AgeGroup","20-24","Total",,,,11236,85.31,85.309,30.784
"ED Visits","New York State",2005,"AgeGroup","25-64","Total",,,,75786,73.81,73.806,207.633
"ED Visits","New York State",2005,"AgeGroup","5-14","Total",,,,31318,124.89,124.886,85.803
"ED Visits","New York State",2005,"AgeGroup","65+","Total",,,,10454,41.91,41.914,28.641
"ED Visits","New York State",2005,"Month",1,"Total",,8.56,100.790,16058,8.39,98.821,518.000
"ED Visits","New York State",2005,"Month",10,"Total",,9.14,107.605,16804,8.78,103.412,542.065
"ED Visits","New York State",2005,"Month",11,"Total",,9.31,113.297,17057,8.92,108.468,568.567
"ED Visits","New York State",2005,"Month",12,"Total",,8.11,95.488,14970,7.82,92.125,482.903
"ED Visits","New York State",2005,"Month",2,"Total",,7.14,93.114,13269,6.94,90.406,473.893
"ED Visits","New York State",2005,"Month",3,"Total",,7.22,85.000,13459,7.03,82.827,434.161
"ED Visits","New York State",2005,"Month",4,"Total",,7.42,90.238,13747,7.19,87.419,458.233
"ED Visits","New York State",2005,"Month",5,"Total",,10.29,121.114,18998,9.93,116.914,612.839
"ED Visits","New York State",2005,"Month",6,"Total",,6.35,77.300,11882,6.21,75.559,396.067
"ED Visits","New York State",2005,"Month",7,"Total",,4.73,55.749,8926,4.67,54.931,287.935
"ED Visits","New York State",2005,"Month",8,"Total",,4.81,56.608,9061,4.74,55.761,292.290
"ED Visits","New York State",2005,"Month",9,"Total",,6.66,81.083,12337,6.45,78.453,411.233
"ED Visits","New York State",2005,"Total",,"Total",,89.75,89.747,166568,87.06,87.060,456.351
"ED Visits","New York State","2005-2007","AgeGroup","0-4","Gender","F",,,30005,526.55,175.515,27.402
"ED Visits","New York State","2005-2007","AgeGroup","0-4","Gender","M",,,52411,878.78,292.926,47.864
"ED Visits","New York State","2005-2007","AgeGroup","0-4","Total",,,,82421,706.72,235.572,75.270
"ED Visits","New York State","2005-2007","AgeGroup","15-19","Gender","F",,,19118,284.85,94.949,17.459
"ED Visits","New York State","2005-2007","AgeGroup","15-19","Gender","M",,,14112,199.90,66.634,12.888
"ED Visits","New York State","2005-2007","AgeGroup","15-19","Total",,,,33230,241.30,80.434,30.347
"ED Visits","New York State","2005-2007","AgeGroup","20-24","Gender","F",,,20746,315.91,105.302,18.946
"ED Visits","New York State","2005-2007","AgeGroup","20-24","Gender","M",,,13557,201.74,67.248,12.381
"ED Visits","New York State","2005-2007","AgeGroup","20-24","Total",,,,34305,258.18,86.061,31.329
"ED Visits","New York State","2005-2007","AgeGroup","25-64","Gender","F",,,144274,272.34,90.780,131.757
"ED Visits","New York State","2005-2007","AgeGroup","25-64","Gender","M",,,86042,172.47,57.491,78.577
"ED Visits","New York State","2005-2007","AgeGroup","25-64","Total",,,,230322,223.91,74.637,210.340
"ED Visits","New York State","2005-2007","AgeGroup","5-14","Gender","F",,,36625,304.09,101.364,33.447
"ED Visits","New York State","2005-2007","AgeGroup","5-14","Gender","M",,,58484,464.49,154.831,53.410
"ED Visits","New York State","2005-2007","AgeGroup","5-14","Total",,,,95110,386.08,128.693,86.858
"ED Visits","New York State","2005-2007","AgeGroup","65+","Gender","F",,,22013,148.69,49.564,20.103
"ED Visits","New York State","2005-2007","AgeGroup","65+","Gender","M",,,10263,100.53,33.511,9.373
"ED Visits","New York State","2005-2007","AgeGroup","65+","Total",,,,32277,129.04,43.014,29.477
"ED Visits","New York State","2005-2007","Month",1,"Total",,24.47,96.024,45407,23.74,93.191,488.247
"ED Visits","New York State","2005-2007","Month",10,"Total",,28.26,110.914,51704,27.04,106.114,555.957
"ED Visits","New York State","2005-2007","Month",11,"Total",,28.45,115.388,51885,27.13,110.035,576.500
"ED Visits","New York State","2005-2007","Month",12,"Total",,25.98,101.963,47768,24.98,98.036,513.634
"ED Visits","New York State","2005-2007","Month",2,"Total",,21.28,92.469,39431,20.62,89.596,469.417
"ED Visits","New York State","2005-2007","Month",3,"Total",,22.88,89.812,42413,22.18,87.046,456.054
"ED Visits","New York State","2005-2007","Month",4,"Total",,21.98,89.151,40744,21.31,86.408,452.711
"ED Visits","New York State","2005-2007","Month",5,"Total",,30.45,119.506,56018,29.29,114.968,602.344
"ED Visits","New York State","2005-2007","Month",6,"Total",,18.36,74.469,34318,17.95,72.780,381.311
"ED Visits","New York State","2005-2007","Month",7,"Total",,14.39,56.470,27166,14.21,55.754,292.108
"ED Visits","New York State","2005-2007","Month",8,"Total",,14.84,58.248,27947,14.61,57.357,300.505
"ED Visits","New York State","2005-2007","Month",9,"Total",,23.30,94.506,42864,22.41,90.904,476.267
"ED Visits","New York State","2005-2007","Total",,"Total",,274.65,91.550,507665,265.47,88.490,463.621
"ED Visits","New York State","2005-2019","AgeGroup","0-4","Gender","F",,,136531,2402.66,160.177,24.924
"ED Visits","New York State","2005-2019","AgeGroup","0-4","Gender","M",,,240865,4048.34,269.889,43.970
"ED Visits","New York State","2005-2019","AgeGroup","0-4","Total",,,,377402,3244.45,216.297,68.894
"ED Visits","New York State","2005-2019","AgeGroup","15-19","Gender","F",,,87173,1373.87,91.592,15.913
"ED Visits","New York State","2005-2019","AgeGroup","15-19","Gender","M",,,62521,944.61,62.974,11.413
"ED Visits","New York State","2005-2019","AgeGroup","15-19","Total",,,,149694,1154.71,76.981,27.326
"ED Visits","New York State","2005-2019","AgeGroup","20-24","Gender","F",,,107455,1583.87,105.592,19.616
"ED Visits","New York State","2005-2019","AgeGroup","20-24","Gender","M",,,74069,1074.16,71.611,13.521
"ED Visits","New York State","2005-2019","AgeGroup","20-24","Total",,,,181526,1326.96,88.464,33.137
"ED Visits","New York State","2005-2019","AgeGroup","25-64","Gender","F",,,716211,1336.55,89.103,130.743
"ED Visits","New York State","2005-2019","AgeGroup","25-64","Gender","M",,,443030,870.34,58.023,80.874
"ED Visits","New York State","2005-2019","AgeGroup","25-64","Total",,,,1159262,1109.45,73.963,211.621
"ED Visits","New York State","2005-2019","AgeGroup","5-14","Gender","F",,,185613,1621.42,108.095,33.883
"ED Visits","New York State","2005-2019","AgeGroup","5-14","Gender","M",,,282592,2361.82,157.454,51.587
"ED Visits","New York State","2005-2019","AgeGroup","5-14","Total",,,,468207,1999.81,133.321,85.470
"ED Visits","New York State","2005-2019","AgeGroup","65+","Gender","F",,,124442,762.03,50.802,22.717
"ED Visits","New York State","2005-2019","AgeGroup","65+","Gender","M",,,53395,451.60,30.107,9.747
"ED Visits","New York State","2005-2019","AgeGroup","65+","Total",,,,177840,631.67,42.111,32.464
"ED Visits","New York State","2005-2019","Month",1,"Total",,119.17,93.595,223322,114.92,90.254,480.262
"ED Visits","New York State","2005-2019","Month",10,"Total",,136.94,107.547,251929,129.64,101.815,541.783
"ED Visits","New York State","2005-2019","Month",11,"Total",,130.17,105.636,238515,122.74,99.607,530.033
"ED Visits","New York State","2005-2019","Month",12,"Total",,128.93,101.262,238329,122.64,96.319,512.535
"ED Visits","New York State","2005-2019","Month",2,"Total",,105.03,90.680,196135,100.93,87.137,463.676
"ED Visits","New York State","2005-2019","Month",3,"Total",,116.87,91.783,217015,111.67,87.705,466.699
"ED Visits","New York State","2005-2019","Month",4,"Total",,113.08,91.774,210802,108.48,88.034,468.449
"ED Visits","New York State","2005-2019","Month",5,"Total",,140.47,110.321,258923,133.24,104.641,556.824
"ED Visits","New York State","2005-2019","Month",6,"Total",,90.49,73.442,170634,87.81,71.259,379.187
"ED Visits","New York State","2005-2019","Month",7,"Total",,72.37,56.834,138187,71.11,55.847,297.176
"ED Visits","New York State","2005-2019","Month",8,"Total",,76.36,59.972,144776,74.50,58.510,311.346
"ED Visits","New York State","2005-2019","Month",9,"Total",,122.94,99.775,225364,115.97,94.115,500.809
"ED Visits","New York State","2005-2019","Total",,"Total",,1352.82,90.188,2513931,1293.63,86.242,458.914
"ED Visits","New York State",2006,"AgeGroup","0-4","Total",,,,28283,243.61,243.610,77.488
"ED Visits","New York State",2006,"AgeGroup","15-19","Total",,,,11302,81.96,81.964,30.964
"ED Visits","New York State",2006,"AgeGroup","20-24","Total",,,,11286,85.19,85.186,30.921
"ED Visits","New York State",2006,"AgeGroup","25-64","Total",,,,77106,74.96,74.965,211.249
"ED Visits","New York State",2006,"AgeGroup","5-14","Total",,,,32606,132.44,132.436,89.332
"ED Visits","New York State",2006,"AgeGroup","65+","Total",,,,10841,43.50,43.499,29.701
"ED Visits","New York State",2006,"Month",1,"Total",,7.54,88.730,13904,7.28,85.690,448.516
"ED Visits","New York State",2006,"Month",10,"Total",,9.39,110.613,17211,9.01,106.071,555.194
"ED Visits","New York State",2006,"Month",11,"Total",,9.14,111.160,16634,8.71,105.933,554.467
"ED Visits","New York State",2006,"Month",12,"Total",,9.08,106.913,16642,8.71,102.565,536.839
"ED Visits","New York State",2006,"Month",2,"Total",,7.11,92.643,13138,6.88,89.645,469.214
"ED Visits","New York State",2006,"Month",3,"Total",,8.01,94.345,14767,7.73,91.009,476.355
"ED Visits","New York State",2006,"Month",4,"Total",,7.64,92.997,14164,7.41,90.203,472.133
"ED Visits","New York State",2006,"Month",5,"Total",,10.75,126.625,19780,10.35,121.904,638.065
"ED Visits","New York State",2006,"Month",6,"Total",,6.11,74.376,11403,5.97,72.619,380.100
"ED Visits","New York State",2006,"Month",7,"Total",,4.91,57.803,9267,4.85,57.113,298.935
"ED Visits","New York State",2006,"Month",8,"Total",,4.72,55.585,8876,4.65,54.703,286.323
"ED Visits","New York State",2006,"Month",9,"Total",,8.56,104.105,15638,8.19,99.590,521.267
"ED Visits","New York State",2006,"Total",,"Total",,92.96,92.965,171424,89.73,89.729,469.655
"ED Visits","New York State","2006-2008","AgeGroup","0-4","Gender","F",,,30038,530.29,176.763,27.407
"ED Visits","New York State","2006-2008","AgeGroup","0-4","Gender","M",,,52471,885.38,295.126,47.875
"ED Visits","New York State","2006-2008","AgeGroup","0-4","Total",,,,82510,711.85,237.285,75.283
"ED Visits","New York State","2006-2008","AgeGroup","15-19","Gender","F",,,19060,282.22,94.073,17.391
"ED Visits","New York State","2006-2008","AgeGroup","15-19","Gender","M",,,13930,196.09,65.362,12.710
"ED Visits","New York State","2006-2008","AgeGroup","15-19","Total",,,,32990,238.06,79.355,30.100
"ED Visits","New York State","2006-2008","AgeGroup","20-24","Gender","F",,,21290,320.17,106.723,19.425
"ED Visits","New York State","2006-2008","AgeGroup","20-24","Gender","M",,,13890,204.51,68.169,12.673
"ED Visits","New York State","2006-2008","AgeGroup","20-24","Total",,,,35182,261.74,87.247,32.100
"ED Visits","New York State","2006-2008","AgeGroup","25-64","Gender","F",,,147784,278.42,92.805,134.839
"ED Visits","New York State","2006-2008","AgeGroup","25-64","Gender","M",,,87886,175.65,58.549,80.188
"ED Visits","New York State","2006-2008","AgeGroup","25-64","Total",,,,235676,228.55,76.185,215.033
"ED Visits","New York State","2006-2008","AgeGroup","5-14","Gender","F",,,36113,304.36,101.454,32.950
"ED Visits","New York State","2006-2008","AgeGroup","5-14","Gender","M",,,57348,462.62,154.206,52.325
"ED Visits","New York State","2006-2008","AgeGroup","5-14","Total",,,,93461,385.22,128.408,85.275
"ED Visits","New York State","2006-2008","AgeGroup","65+","Gender","F",,,23491,157.74,52.579,21.433
"ED Visits","New York State","2006-2008","AgeGroup","65+","Gender","M",,,10759,104.08,34.692,9.817
"ED Visits","New York State","2006-2008","AgeGroup","65+","Total",,,,34250,135.75,45.250,31.250
"ED Visits","New York State","2006-2008","Month",1,"Total",,24.15,94.863,44679,23.33,91.653,480.419
"ED Visits","New York State","2006-2008","Month",10,"Total",,28.58,112.283,52378,27.35,107.446,563.204
"ED Visits","New York State","2006-2008","Month",11,"Total",,27.90,113.235,50899,26.58,107.893,565.544
"ED Visits","New York State","2006-2008","Month",12,"Total",,26.73,105.016,49150,25.67,100.824,528.495
"ED Visits","New York State","2006-2008","Month",2,"Total",,22.53,96.832,41867,21.86,93.968,492.553
"ED Visits","New York State","2006-2008","Month",3,"Total",,23.57,92.602,43769,22.86,89.786,470.634
"ED Visits","New York State","2006-2008","Month",4,"Total",,21.75,88.297,40437,21.12,85.716,449.300
"ED Visits","New York State","2006-2008","Month",5,"Total",,29.93,117.577,55012,28.73,112.849,591.527
"ED Visits","New York State","2006-2008","Month",6,"Total",,18.14,73.629,33986,17.75,72.041,377.622
"ED Visits","New York State","2006-2008","Month",7,"Total",,14.40,56.583,27243,14.23,55.885,292.935
"ED Visits","New York State","2006-2008","Month",8,"Total",,15.22,59.809,28641,14.96,58.753,307.968
"ED Visits","New York State","2006-2008","Month",9,"Total",,25.15,102.075,46008,24.03,97.525,511.200
"ED Visits","New York State","2006-2008","Total",,"Total",,278.06,92.686,514069,268.45,89.482,469.041
"ED Visits","New York State",2007,"AgeGroup","0-4","Total",,,,27168,234.81,234.810,74.433
"ED Visits","New York State",2007,"AgeGroup","15-19","Total",,,,11124,80.16,80.156,30.477
"ED Visits","New York State",2007,"AgeGroup","20-24","Total",,,,11783,87.66,87.662,32.282
"ED Visits","New York State",2007,"AgeGroup","25-64","Total",,,,77430,75.14,75.137,212.137
"ED Visits","New York State",2007,"AgeGroup","5-14","Total",,,,31186,128.83,128.829,85.441
"ED Visits","New York State",2007,"AgeGroup","65+","Total",,,,10982,43.62,43.622,30.088
"ED Visits","New York State",2007,"Month",1,"Total",,8.38,98.647,15445,8.07,95.050,498.226
"ED Visits","New York State",2007,"Month",10,"Total",,9.73,114.576,17689,9.25,108.860,570.613
"ED Visits","New York State",2007,"Month",11,"Total",,10.00,121.718,18194,9.51,115.700,606.467
"ED Visits","New York State",2007,"Month",12,"Total",,8.79,103.507,16156,8.44,99.425,521.161
"ED Visits","New York State",2007,"Month",2,"Total",,7.03,91.636,13024,6.81,88.738,465.143
"ED Visits","New York State",2007,"Month",3,"Total",,7.65,90.107,14187,7.42,87.308,457.645
"ED Visits","New York State",2007,"Month",4,"Total",,6.91,84.129,12833,6.71,81.608,427.767
"ED Visits","New York State",2007,"Month",5,"Total",,9.40,110.716,17240,9.01,106.096,556.129
"ED Visits","New York State",2007,"Month",6,"Total",,5.89,71.656,11033,5.77,70.161,367.767
"ED Visits","New York State",2007,"Month",7,"Total",,4.74,55.819,8973,4.69,55.221,289.452
"ED Visits","New York State",2007,"Month",8,"Total",,5.31,62.519,10010,5.23,61.602,322.903
"ED Visits","New York State",2007,"Month",9,"Total",,8.09,98.442,14889,7.78,94.682,496.300
"ED Visits","New York State",2007,"Total",,"Total",,91.94,91.936,169673,88.68,88.684,464.858
"ED Visits","New York State","2007-2009","AgeGroup","0-4","Gender","F",,,29867,527.86,175.954,27.251
"ED Visits","New York State","2007-2009","AgeGroup","0-4","Gender","M",,,52902,893.53,297.843,48.268
"ED Visits","New York State","2007-2009","AgeGroup","0-4","Total",,,,82770,714.85,238.283,75.520
"ED Visits","New York State","2007-2009","AgeGroup","15-19","Gender","F",,,19021,281.43,93.809,17.355
"ED Visits","New York State","2007-2009","AgeGroup","15-19","Gender","M",,,14066,197.97,65.990,12.834
"ED Visits","New York State","2007-2009","AgeGroup","15-19","Total",,,,33087,238.66,79.552,30.189
"ED Visits","New York State","2007-2009","AgeGroup","20-24","Gender","F",,,22572,333.96,111.319,20.595
"ED Visits","New York State","2007-2009","AgeGroup","20-24","Gender","M",,,14476,209.93,69.977,13.208
"ED Visits","New York State","2007-2009","AgeGroup","20-24","Total",,,,37048,271.32,90.441,33.803
"ED Visits","New York State","2007-2009","AgeGroup","25-64","Gender","F",,,151793,285.00,95.000,138.497
"ED Visits","New York State","2007-2009","AgeGroup","25-64","Gender","M",,,89243,177.60,59.200,81.426
"ED Visits","New York State","2007-2009","AgeGroup","25-64","Total",,,,241040,232.87,77.622,219.927
"ED Visits","New York State","2007-2009","AgeGroup","5-14","Gender","F",,,36454,310.50,103.500,33.261
"ED Visits","New York State","2007-2009","AgeGroup","5-14","Gender","M",,,56995,464.83,154.942,52.003
"ED Visits","New York State","2007-2009","AgeGroup","5-14","Total",,,,93450,389.34,129.781,85.265
"ED Visits","New York State","2007-2009","AgeGroup","65+","Gender","F",,,24632,163.71,54.569,22.474
"ED Visits","New York State","2007-2009","AgeGroup","65+","Gender","M",,,11081,105.36,35.121,10.110
"ED Visits","New York State","2007-2009","AgeGroup","65+","Total",,,,35713,139.70,46.568,32.585
"ED Visits","New York State","2007-2009","Month",1,"Total",,24.76,97.262,46001,23.94,94.033,494.634
"ED Visits","New York State","2007-2009","Month",10,"Total",,29.69,116.617,54523,28.37,111.454,586.269
"ED Visits","New York State","2007-2009","Month",11,"Total",,28.09,114.042,51442,26.77,108.661,571.578
"ED Visits","New York State","2007-2009","Month",12,"Total",,25.77,101.244,47548,24.74,97.196,511.269
"ED Visits","New York State","2007-2009","Month",2,"Total",,22.69,97.507,42342,22.03,94.700,498.141
"ED Visits","New York State","2007-2009","Month",3,"Total",,23.28,91.458,43395,22.58,88.706,466.613
"ED Visits","New York State","2007-2009","Month",4,"Total",,21.44,87.040,39980,20.80,84.450,444.222
"ED Visits","New York State","2007-2009","Month",5,"Total",,29.39,115.455,54110,28.16,110.609,581.828
"ED Visits","New York State","2007-2009","Month",6,"Total",,18.97,77.001,35740,18.60,75.493,397.111
"ED Visits","New York State","2007-2009","Month",7,"Total",,14.49,56.926,27496,14.31,56.206,295.656
"ED Visits","New York State","2007-2009","Month",8,"Total",,16.70,65.607,31337,16.31,64.058,336.957
"ED Visits","New York State","2007-2009","Month",9,"Total",,26.88,109.118,49194,25.60,103.912,546.600
"ED Visits","New York State","2007-2009","Total",,"Total",,282.16,94.052,523108,272.21,90.736,477.288
"ED Visits","New York State",2008,"AgeGroup","0-4","Total",,,,27059,233.42,233.420,73.932
"ED Visits","New York State",2008,"AgeGroup","15-19","Total",,,,10564,75.97,75.967,28.863
"ED Visits","New York State",2008,"AgeGroup","20-24","Total",,,,12113,88.84,88.841,33.096
"ED Visits","New York State",2008,"AgeGroup","25-64","Total",,,,81140,78.44,78.440,221.694
"ED Visits","New York State",2008,"AgeGroup","5-14","Total",,,,29669,123.84,123.842,81.063
"ED Visits","New York State",2008,"AgeGroup","65+","Total",,,,12427,48.56,48.557,33.954
"ED Visits","New York State",2008,"Month",1,"Total",,8.23,97.171,15330,7.98,94.206,494.516
"ED Visits","New York State",2008,"Month",10,"Total",,9.46,111.656,17478,9.10,107.406,563.806
"ED Visits","New York State",2008,"Month",11,"Total",,8.75,106.780,16071,8.36,102.052,535.700
"ED Visits","New York State",2008,"Month",12,"Total",,8.86,104.579,16352,8.51,100.487,527.484
"ED Visits","New York State",2008,"Month",2,"Total",,8.39,105.876,15705,8.17,103.166,541.552
"ED Visits","New York State",2008,"Month",3,"Total",,7.90,93.250,14815,7.71,91.041,477.903
"ED Visits","New York State",2008,"Month",4,"Total",,7.19,87.716,13440,7.00,85.345,448.000
"ED Visits","New York State",2008,"Month",5,"Total",,9.77,115.292,17992,9.36,110.565,580.387
"ED Visits","New York State",2008,"Month",6,"Total",,6.13,74.843,11550,6.01,73.343,385.000
"ED Visits","New York State",2008,"Month",7,"Total",,4.75,56.110,9003,4.69,55.325,290.419
"ED Visits","New York State",2008,"Month",8,"Total",,5.19,61.289,9755,5.08,59.947,314.677
"ED Visits","New York State",2008,"Month",9,"Total",,8.50,103.696,15481,8.06,98.305,516.033
"ED Visits","New York State",2008,"Total",,"Total",,93.12,93.118,172972,90.03,90.031,472.601
"ED Visits","New York State","2008-2010","AgeGroup","0-4","Gender","F",,,30007,529.90,176.634,27.379
"ED Visits","New York State","2008-2010","AgeGroup","0-4","Gender","M",,,53473,902.49,300.831,48.789
"ED Visits","New York State","2008-2010","AgeGroup","0-4","Total",,,,83481,720.42,240.141,76.169
"ED Visits","New York State","2008-2010","AgeGroup","15-19","Gender","F",,,18570,276.53,92.177,16.943
"ED Visits","New York State","2008-2010","AgeGroup","15-19","Gender","M",,,13551,192.13,64.042,12.364
"ED Visits","New York State","2008-2010","AgeGroup","15-19","Total",,,,32121,233.29,77.764,29.307
"ED Visits","New York State","2008-2010","AgeGroup","20-24","Gender","F",,,22954,333.69,111.231,20.943
"ED Visits","New York State","2008-2010","AgeGroup","20-24","Gender","M",,,15023,214.32,71.441,13.707
"ED Visits","New York State","2008-2010","AgeGroup","20-24","Total",,,,37977,273.45,91.149,34.651
"ED Visits","New York State","2008-2010","AgeGroup","25-64","Gender","F",,,154401,288.51,96.171,140.877
"ED Visits","New York State","2008-2010","AgeGroup","25-64","Gender","M",,,89279,176.66,58.888,81.459
"ED Visits","New York State","2008-2010","AgeGroup","25-64","Total",,,,243683,234.19,78.064,222.339
"ED Visits","New York State","2008-2010","AgeGroup","5-14","Gender","F",,,36461,312.72,104.240,33.267
"ED Visits","New York State","2008-2010","AgeGroup","5-14","Gender","M",,,56896,467.37,155.789,51.912
"ED Visits","New York State","2008-2010","AgeGroup","5-14","Total",,,,93358,391.72,130.572,85.181
"ED Visits","New York State","2008-2010","AgeGroup","65+","Gender","F",,,26006,170.85,56.950,23.728
"ED Visits","New York State","2008-2010","AgeGroup","65+","Gender","M",,,11306,105.54,35.179,10.316
"ED Visits","New York State","2008-2010","AgeGroup","65+","Total",,,,37312,143.87,47.957,34.044
"ED Visits","New York State","2008-2010","Month",1,"Total",,24.28,95.384,45288,23.46,92.148,486.968
"ED Visits","New York State","2008-2010","Month",10,"Total",,29.79,117.018,55034,28.51,111.979,591.763
"ED Visits","New York State","2008-2010","Month",11,"Total",,26.95,109.383,49616,25.70,104.320,551.289
"ED Visits","New York State","2008-2010","Month",12,"Total",,25.82,101.417,47883,24.80,97.428,514.871
"ED Visits","New York State","2008-2010","Month",2,"Total",,22.83,98.135,42701,22.12,95.062,502.365
"ED Visits","New York State","2008-2010","Month",3,"Total",,23.54,92.466,43930,22.75,89.385,472.366
